gamma,self_value,edge_value,diagonal_value,edge_excess,diagonal_excess,analytic_regime,numerical_policy_00_10_01_11,analytic_numerical_max_error
0.044,1.0228373702422144,1.0380622837370241,1.0380622837370241,0.0152249134948097,0.0152249134948097,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.046,1.0239168110918546,1.0398613518197575,1.0398613518197575,0.015944540727902856,0.015944540727902856,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.048,1.0250000000000001,1.0416666666666667,1.0416666666666667,0.016666666666666607,0.016666666666666607,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.05,1.0260869565217392,1.0434782608695652,1.0434782608695652,0.017391304347825987,0.017391304347825987,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.052000000000000005,1.027177700348432,1.0452961672473868,1.0452961672473868,0.01811846689895491,0.01811846689895491,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.054,1.0282722513089004,1.0471204188481675,1.0471204188481675,0.018848167539267102,0.018848167539267102,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.056,1.0293706293706295,1.048951048951049,1.048951048951049,0.01958041958041945,0.01958041958041945,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.058,1.0304728546409807,1.0507880910683012,1.0507880910683012,0.02031523642732047,0.02031523642732047,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.06,1.031578947368421,1.0526315789473684,1.0526315789473684,0.021052631578947434,0.021052631578947434,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.062,1.032688927943761,1.054481546572935,1.054481546572935,0.02179261862917392,0.02179261862917392,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.064,1.0338028169014084,1.0563380281690142,1.0563380281690142,0.022535211267605826,0.022535211267605826,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.066,1.034920634920635,1.0582010582010581,1.0582010582010581,0.023280423280423124,0.023280423280423124,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.068,1.0360424028268551,1.0600706713780919,1.0600706713780919,0.024028268551236742,0.024028268551236742,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.07,1.0371681415929204,1.0619469026548671,1.0619469026548671,0.024778761061946764,0.024778761061946764,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.07200000000000001,1.0382978723404255,1.0638297872340425,1.0638297872340425,0.025531914893617058,0.025531914893617058,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.074,1.0394316163410302,1.0657193605683837,1.0657193605683837,0.02628774422735347,0.02628774422735347,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.076,1.0405693950177934,1.0676156583629892,1.0676156583629892,0.027046263345195776,0.027046263345195776,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.078,1.041711229946524,1.06951871657754,1.06951871657754,0.027807486631015843,0.027807486631015843,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.08,1.042857142857143,1.0714285714285714,1.0714285714285714,0.02857142857142847,0.02857142857142847,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.082,1.0440071556350627,1.073345259391771,1.073345259391771,0.0293381037567082,0.0293381037567082,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.084,1.0451612903225806,1.075268817204301,1.075268817204301,0.03010752688172036,0.03010752688172036,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.08600000000000001,1.0463195691202873,1.0771992818671454,1.0771992818671454,0.03087971274685808,0.03087971274685808,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.088,1.047482014388489,1.079136690647482,1.079136690647482,0.031654676258992875,0.031654676258992875,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.09,1.0486486486486488,1.0810810810810811,1.0810810810810811,0.03243243243243232,0.03243243243243232,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.092,1.0498194945848376,1.0830324909747293,1.0830324909747293,0.033212996389891725,0.033212996389891725,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.094,1.0509945750452079,1.0849909584086799,1.0849909584086799,0.033996383363471994,0.033996383363471994,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.096,1.0521739130434784,1.0869565217391306,1.0869565217391306,0.034782608695652195,0.034782608695652195,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.098,1.0533575317604356,1.088929219600726,1.088929219600726,0.03557168784029052,0.03557168784029052,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.1,1.0545454545454545,1.0909090909090908,1.0909090909090908,0.036363636363636376,0.036363636363636376,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.10200000000000001,1.0557377049180328,1.0928961748633879,1.0928961748633879,0.0371584699453551,0.0371584699453551,SIC/SIC/SIC,SIC/SIC/SIC/SIC,0.0
0.10400000000000001,1.0569343065693428,1.094890510948905,1.094890510948905,0.037956204379562264,0.037956204379562264,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.106,1.0581352833638027,1.096892138939671,1.096892138939671,0.03875685557586839,0.03875685557586839,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.108,1.0593406593406594,1.098901098901099,1.098901098901099,0.03956043956043964,0.03956043956043964,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.11,1.0605504587155963,1.1009174311926606,1.1009174311926606,0.04036697247706433,0.04036697247706433,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.112,1.061764705882353,1.1029411764705883,1.1029411764705883,0.04117647058823537,0.04117647058823537,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.114,1.0629834254143646,1.1049723756906078,1.1049723756906078,0.041988950276243164,0.041988950276243164,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.116,1.0642066420664207,1.1070110701107012,1.1070110701107012,0.04280442804428053,0.04280442804428053,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.11800000000000001,1.0654343807763402,1.1090573012939002,1.1090573012939002,0.043622920517560004,0.043622920517560004,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.12,1.0666666666666667,1.111111111111111,1.111111111111111,0.04444444444444429,0.04444444444444429,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.122,1.0679035250463822,1.1131725417439704,1.1131725417439704,0.045269016697588205,0.045269016697588205,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.124,1.0691449814126395,1.1152416356877324,1.1152416356877324,0.04609665427509291,0.04609665427509291,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.126,1.070391061452514,1.1173184357541899,1.1173184357541899,0.04692737430167582,0.04692737430167582,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.128,1.071641791044776,1.1194029850746268,1.1194029850746268,0.047761194029850795,0.047761194029850795,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.13,1.0728971962616825,1.1214953271028039,1.1214953271028039,0.04859813084112141,0.04859813084112141,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.132,1.0741573033707865,1.1235955056179776,1.1235955056179776,0.04943820224719109,0.04943820224719109,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.134,1.075422138836773,1.125703564727955,1.125703564727955,0.0502814258911819,0.0502814258911819,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.136,1.0766917293233083,1.1278195488721805,1.1278195488721805,0.051127819548872244,0.051127819548872244,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.138,1.0779661016949154,1.1299435028248588,1.1299435028248588,0.051977401129943424,0.051977401129943424,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.1102230246251565e-15
0.14,1.079245283018868,1.1320754716981132,1.1320754716981132,0.05283018867924527,0.05283018867924527,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.3322676295501878e-15
0.14200000000000002,1.0805293005671077,1.1342155009451795,1.1342155009451795,0.05368620037807181,0.05368620037807181,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.14400000000000002,1.0818181818181818,1.1363636363636362,1.1363636363636362,0.05454545454545445,0.05454545454545445,SIC/SIC/SIC,SIC/SIC/SIC/SIC,2.220446049250313e-16
0.146,1.0831119544592032,1.1385199240986719,1.1385199240986719,0.0554079696394687,0.0554079696394687,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.148,1.0844106463878327,1.1406844106463878,1.1406844106463878,0.056273764258555126,0.056273764258555126,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.15,1.0857142857142859,1.1428571428571428,1.1428571428571428,0.05714285714285694,0.05714285714285694,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
